USAF,WBAN,STATION NAME,CTRY,STATE,LAT,LON,Geocoded_City,Geocoded_County
722540,13958,AUSTIN/MUELLER MUNI,US,TX,30.321,-97.76,Austin,Travis County
722541,53914,MCKINNEY MUNICIPAL ARPT,US,TX,33.183,-96.59,McKinney,Collin County
722541,99999,COLLIN CO RGNL,US,TX,33.183,-96.583,,Collin County
722542,3999,BURNET MUNICIPAL CRADOCK FIELD AIRPORT,US,TX,30.741,-98.235,Burnet,Burnet County
722542,99999,BURNET MUNI KATE CR,US,TX,30.733,-98.233,Burnet,Burnet County
722543,12977,SUGAR LAND REGIONAL ARPT,US,TX,29.62,-95.657,Sugar Land,Fort Bend County
722543,99999,SUGER LAND RGNL,US,TX,29.617,-95.65,Sugar Land,Fort Bend County
722544,13958,AUSTIN-CAMP MABRY,US,TX,30.321,-97.76,Austin,Travis County
722545,13904,BERGSTROM AFB/AUSTI,US,TX,30.183,-97.68,Austin,Travis County
722545,99999,BERGSTROM AFB/AUSTI,US,TX,30.2,-97.683,Austin,Travis County
722546,12910,SAN MARCOS (AWOS),US,TX,29.9,-97.867,San Marcos,Caldwell County
722547,53942,GEORGETOWN MUNICIPAL ARPT,US,TX,30.679,-97.679,Georgetown,Williamson County
722547,99999,GEORGETOWN MUNI,US,TX,30.683,-97.683,Georgetown,Williamson County
722550,12912,VICTORIA REGIONAL AIRPORT,US,TX,28.862,-96.93,,Victoria County
722552,93929,GAINESVILLE MUNICIPAL ARPT,US,TX,33.651,-97.197,Gainesville,Cooke County
722552,99999,GAINESVILLE MUNI,US,TX,33.651,-97.197,Gainesville,Cooke County
722553,53928,BRENHAM MUNI,US,TX,30.219,-96.374,,Washington County
722553,99999,BRENHAM MUNI,US,TX,30.219,-96.374,,Washington County
722554,12978,FAYETTE RGNL AIR CTR,US,TX,29.908,-96.95,,Fayette County
722554,99999,FAYETTE RGNL AIR CNTR,US,TX,29.908,-96.95,,Fayette County
722555,12935,PALACIOS MUNICIPAL AIRPORT,US,TX,28.725,-96.254,Palacios,Matagorda County
722556,12925,CHASE NAVAL AIR STATION,US,TX,28.367,-97.667,,Bee County
722557,99999,PORT OCONNOR (CGS),US,TX,28.433,-96.433,,Calhoun County
722560,13959,WACO REGIONAL AIRPORT,US,TX,31.618,-97.228,Waco,McLennan County
722561,99999,TSTC WACO,US,TX,31.638,-97.074,Waco,McLennan County
722563,53952,MC GREGOR EXECUTIVE ARPT,US,TX,31.485,-97.316,McGregor,McLennan County
722563,99999,MC GREGOR EXECUTIVE,US,TX,31.483,-97.317,McGregor,McLennan County
722570,3933,HOOD AAF AIRPORT,US,TX,31.133,-97.717,,Bell County
722570,99999,FT HOOD AAF/KILLEEN,US,TX,31.1,-97.717,Killeen,Bell County
722572,3933,FORT HOOD,US,TX,31.133,-97.717,,Bell County
722575,3972,KILLEEN MUNICIPAL AIRPORT,US,TX,31.083,-97.683,Killeen,Bell County
722575,99999,KILLEEN MUNI (AWOS),US,TX,31.083,-97.683,Killeen,Bell County
722576,3902,ROBERT GRAY AFF AIRPORT,US,TX,31.067,-97.833,,Bell County
722576,99999,ROBERT GRAY AAF,US,TX,31.067,-97.833,,Bell County
722577,93984,DRAUGHON-MILLER CNTRL TX RGNL ARPT,US,TX,31.15,-97.417,Temple,Bell County
722577,99999,DRAUGHON MILLER CEN,US,TX,31.15,-97.4,Temple,Bell County
722580,13960,DALLAS LOVE FIELD AIRPORT,US,TX,32.838,-96.836,Dallas,Dallas County
722581,13960,DALLAS LOVE FIELD,US,TX,32.852,-96.856,Dallas,Dallas County
722583,13960,DALLAS LOVE FLD,US,TX,32.852,-96.856,Dallas,Dallas County
722585,93901,NAVAL AIR STATION OPERATIONS,US,TX,32.733,-96.967,Dallas,Dallas County
722586,99999,DEL RIO(NEXRAD),US,TX,29.267,-100.283,,Kinney County
722587,93955,COX FIELD AIRPORT,US,TX,33.633,-95.45,Paris,Lamar County
722587,99999,COX FLD,US,TX,33.633,-95.45,Paris,Lamar County
722588,13926,MAJORS AIRPORT,US,TX,33.068,-96.065,Greenville,Hunt County
722588,99999,MAJORS,US,TX,33.067,-96.067,Greenville,Hunt County
722589,3991,DENTON MUNICIPAL AIRPORT,US,TX,33.209,-97.199,Denton,Denton County
722589,99999,DENTON MUNI,US,TX,33.201,-97.198,Denton,Denton County
722590,3927,DALLAS/FT WORTH INTERNATIONAL AP,US,TX,32.897,-97.022,Irving,Dallas County
722593,3985,FORT WORTH SPINKS AIRPORT,US,TX,32.565,-97.308,Fort Worth,Tarrant County
722593,99999,FORT WORTH SPINKS,US,TX,32.567,-97.3,Fort Worth,Tarrant County
722594,53909,FORT WORTH ALLIANCE ARPT,US,TX,32.994,-97.32,Fort Worth,Denton County
722594,99999,FORT WORTH ALLIANCE,US,TX,32.983,-97.317,Fort Worth,Tarrant County
